Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Zydus Lifesci.,72.26,99677.54,20.67,13.68,20.84,19.79,19.89,21.37,23.91,22.34,23.32,22.7,23.28,10.72,8.23,11.07,10.47,18.43,16.96,14.86,16.97,1.44,5,5.03,4.84,8,20.33,14.62,0.3,7.82,74.98,6.85,0,8.11,1.45,0.04,57.45,Y,Y,Y,Y,1,1,1,1,1,5
Mankind Pharma,39.63,98394.19,19.71,17.02,19.82,21.53,,,52.48,53.87,53.87,53.87,53.87,18.82,19.33,,,17.61,27.24,,,1.93,5,10.22,10.68,9,18.51,15,0,0,74.87,2.86,0,16.61,1.37,0,121.81,N,N,Y,Y,0,0,0,1,1,2
Lupin,90.58,98376.43,14.14,3.33,1.92,2.23,2.67,7.91,43.46,47.24,44.83,43.73,35.96,9.69,6.41,2.04,5.89,16.96,20.87,-4.37,0.1,2.07,3,6.88,4.73,8,9.56,2.57,0.37,19.04,46.96,6.44,0,9.13,0.9,0.2,10.72,N,N,Y,Y,0,0,0,0,1,1
Aurobindo Pharma,67.14,83680.82,11.53,7.47,10.28,12.69,14.09,16.19,23.38,16.36,15.7,15.75,17.27,5.39,8.19,9.97,13.62,-1.39,6.11,5.11,10.75,3.83,3,2.8,2.82,6,11.27,7.72,0.32,8.31,51.81,6.45,20.39,5.41,1.14,0.22,15.57,Y,Y,N,Y,0,0,0,0,1,1
Alkem Lab,61.7,71052.1,19.56,12.12,17.42,18.68,17.78,18.1,33.15,33.65,28.16,30.69,28.4,12.63,11.48,12.12,15.07,6.78,19.88,11.33,-8.05,1.67,1,6.89,5.58,9,15.08,9.45,0.67,26.63,55.66,16.12,0,10.15,1.9,0.14,22.58,N,Y,Y,Y,1,0,0,0,1,2
Glenmark Pharma.,123.88,46950.47,-50.87,5.85,-10.62,-2.77,1.15,4.71,,14.53,15.29,15.82,18.96,2.58,3.67,3.83,7,,,,,,4,5.98,3.91,3,-37.29,5.96,0.15,-4.7,46.65,17.06,0,7.44,0.84,0.16,3.69,N,Y,Y,N,0,0,0,0,1,1
Ipca Labs.,61.02,40157.57,9.35,8.04,11.35,14.94,14.44,13.25,75.76,38.92,32.42,35.46,35.27,12.41,15.39,13.51,8.85,-20.53,5.37,16.73,1.74,13.88,3,6.34,4.89,7,7.43,7.44,0.25,18.54,46.3,8.64,0,8.02,1.07,0.23,8.25,Y,Y,N,N,0,0,0,0,1,1
Biocon,40.1,37458.72,5.25,4.78,5.87,7.05,7.56,8.28,23.98,44.62,48.76,54.39,43.48,27.36,21.76,20.98,17.76,10.52,5.86,7.13,9.12,4.09,1,1.89,2.54,7,8.5,7.81,0.16,5.87,60.64,18.74,0,2.09,0.65,0.82,3.52,N,Y,N,Y,0,0,0,0,1,1
Piramal Pharma,164.25,32405.26,0.22,-2.76,1.06,,,,560.45,682.13,682.13,682.13,682.13,8.97,,,,,,,,,4,4.1,3.72,9,0.19,-2.63,0.05,81.66,34.95,19.06,0,5.14,0.56,0.61,1.88,N,Y,N,Y,0,0,0,0,0,0
Suven Pharma,119.92,31818.07,14.11,24.51,21.94,26.39,,,132.33,32.03,31.77,31.77,31.77,1.36,22.71,,,-9.44,-71.37,,,6.75,3,15.52,34.05,6,25.41,29.83,0,0,50.1,22.26,0,24.99,2.41,0.03,50.59,Y,Y,Y,N,0,0,0,0,1,1
J B Chemicals &,39,29383.93,20.02,17.63,18.7,19.54,17.43,16.15,50.05,40.93,31.53,27.5,23.91,19.48,16.22,14.57,13.05,10.34,25.27,21.62,20.9,2.05,4,10.04,8.18,7,15.53,12.93,0.65,34.4,53.74,15.8,0,14.7,1.14,0.13,22.02,Y,Y,N,Y,0,1,1,0,1,3
Emcure Pharma,,25910.26,18.46,23.91,23.97,20.52,,,51.48,50.02,50.02,50.02,50.02,9.77,7.14,,,6.04,19.98,,,2.57,3,,3.89,4,8,9.47,0,10.91,78.08,15.05,0,7.52,0.76,0.79,4.1,Y,N,N,N,0,0,0,0,0,0
Laurus Labs,30.55,25114.04,3.97,21.39,16.57,20.7,18.74,18.58,192.43,35.47,31.62,31.94,31.15,1.55,17.07,14.92,15.83,-45.31,11.09,-2.57,-13.36,16.92,3,6.08,4.97,3,3.24,13.14,0.17,26.86,27.18,33.69,0,6.37,0.58,0.67,1.9,Y,Y,N,N,0,0,0,0,0,0
Natco Pharma,60.35,23139.2,25.92,15.34,15.78,14.24,16.13,16.93,14.14,24.63,26.15,23.79,30.48,24.9,13.81,10.25,18.4,50.27,17.57,15.79,29.42,0.83,4,3.95,5.48,6,34.77,25.89,0.74,12.25,49.62,26.13,0,8.63,2.96,0.06,98.88,N,Y,N,Y,1,0,0,0,1,2
Alembic Pharma,42.91,20990.98,13.34,7.2,10.15,15.94,16.96,19.52,33.33,32,22.09,21.86,24.88,4.92,9.62,10.46,12.83,-18.72,0.23,5.52,9.58,31.15,0,4.36,3.33,9,9.84,6.12,1.03,35.11,69.61,10.38,0,7.99,0.99,0.11,12.99,Y,N,Y,Y,0,0,0,0,1,1
Concord Biotech,49.97,18908.33,20.89,19.63,19.24,20.6,,,60.12,54.85,54.85,54.85,54.85,18.13,18.46,,,-51.19,-25.54,,,2.96,3,12.4,18.22,8,28.93,27.59,0.48,30.03,44.08,38.02,0,20.86,3.13,0.01,208.03,Y,N,Y,Y,0,1,0,0,1,2
Wockhardt,376.97,16366.35,-12.1,-8.29,-7.58,-0.11,-2.6,-0.51,,,8.74,8.74,46.7,1.1,-4.73,-5.03,-5.31,,-47.24,-13.89,,,5,4.87,5.66,4,-14.8,-12.51,0,0,51.99,36.21,33.64,4.56,0.55,0.7,0.12,N,N,Y,N,0,0,0,0,1,1
Strides Pharma,202.83,13875.12,4.5,-8.36,-4.68,-0.25,5.53,10.21,69.66,127.32,38.57,22.74,31.73,6.9,13.21,5.66,11.69,-23.99,-20.43,-19.4,-28.35,-3.48,3,6.11,3.15,7,3.2,-5.41,0.17,-32.54,25.84,25.83,49.17,5.66,0.64,1.02,1.82,N,N,Y,Y,1,0,0,0,0,1
Akums Drugs,,13350.95,-3.57,18.87,-6.6,,,,,,,,,15.35,,,,,,,,,2,,3.2,6,-0.61,3.57,0,0,75.26,7.42,0,8,1.08,0.8,0.62,N,N,N,N,0,0,0,0,0,0
Granules India,65.37,13078.22,13.43,19.1,16.51,18.67,17.96,18.39,26.58,18,17.25,16.65,17.78,11.65,14.61,18.05,15.31,-8.89,12.52,12.92,16.26,2.32,4,4.05,2.78,3,9.03,11.47,0.28,8.97,38.87,26.8,0,6.36,0.77,0.41,7.01,Y,Y,N,N,0,0,0,0,0,0
Glenmark Life,49.95,11498.09,21.09,22.3,23.68,30.87,,,27.15,13.73,13.21,13.21,13.21,6.59,20.83,,,-52.51,-47.88,,,1.42,3,4.53,5.21,6,20.65,21.63,2.4,58.56,75,12.99,0,9.08,3.03,0.01,395.49,Y,Y,N,N,1,0,0,0,1,2
FDC,41.85,8407.51,14.16,9.63,11.78,13.44,13.37,13.88,26.75,25.53,20.68,20.21,22.42,13.44,12.28,9.75,8.68,1.86,12.99,7.67,9.98,2.34,4,4.01,4.11,8,14.87,10.63,0,0,69.66,21.71,0,8.19,0.73,0.01,98.71,Y,Y,N,Y,0,0,1,0,1,2
Blue Jet Health,,8194.51,22.43,26.51,28.41,,,,49.86,41.64,41.64,41.64,41.64,12.56,,,,-80.81,,,,,2,9.7,11.79,6,24.03,22.12,0.21,10.59,86,10.06,0,15.15,1.65,0,1582.29,Y,N,Y,Y,0,0,0,1,1,2
Orchid Pharma,168.74,6363.98,9.94,0.95,4.28,-5.13,,,57.06,60.92,60.92,60.92,60.92,22.11,6.43,0.41,-8.29,37.99,26.44,13.29,8.26,2.59,3,5.44,7.22,8,11.27,0.95,0,0,69.84,9.94,0,8.86,2.03,0.12,8.6,N,Y,Y,Y,0,0,0,0,1,1
Aarti Pharma,50.58,5486.5,13.06,13.14,13.92,,,,24.36,22.93,22.93,22.93,22.93,,,,,,,,,,3,3.12,2.81,4,11.69,9.94,0.5,12.53,46.1,35.17,0,5.92,0.91,0.16,18.35,Y,Y,N,Y,0,0,0,0,1,1
Unichem Labs.,72.96,5390.26,-1.17,-7.05,-2.33,-1.85,13.18,12.81,,93.41,117.04,30.04,23.82,11.34,7.64,13.61,4.17,,5.87,,,,4,2.28,3.12,7,-1.64,-13.27,0,0,70.22,17.17,0,4.78,1.4,0.1,1.42,N,N,N,Y,0,0,0,0,1,1
Divi's Lab.,69.43,153460.75,12.17,14.9,17.79,18.91,18.83,19.89,91.67,53.73,52.36,47.77,36.14,4.02,9.66,9.85,11.97,-6.91,3.45,6.06,7.54,26.57,4,11.31,18.75,5,20.43,23.49,0.52,49.69,51.89,9.79,0,18.78,5.08,0,759.33,Y,Y,Y,N,0,0,0,0,1,1
Neuland Labs.,263.85,17709.42,26.39,17.9,18.46,14.27,11.73,11.89,55.25,25.94,27.15,28.36,30,18.49,18.51,15.2,12.84,61.87,78.6,23.69,22.75,0.7,5,13.81,10.83,8,19.27,13.78,0.1,6.02,32.64,34.12,0,18.48,1.33,0.07,30.58,Y,Y,Y,Y,0,1,1,1,0,3
Jubilant Pharmo,166.42,16859.52,0.76,-6.89,0.55,7.12,9.42,9.69,59.24,48.03,13.73,13.75,15.14,3.2,-5.95,1.93,1.52,-63.72,-43.94,-31.51,-13.89,-1.35,3,2.84,2.44,8,0.61,-6.26,0.47,102.46,50.68,25.17,0,3.94,1.2,0.52,2.73,Y,Y,N,Y,1,0,0,0,1,2
Ami Organics,29.24,6175.99,9.37,15.02,14,16.77,17.93,,96.9,52.95,53.31,53.31,53.31,28.19,24.64,23.88,,-2.13,-6.2,-20.51,,4.71,3,8.26,8.34,3,9.43,13.59,0.2,25.87,35.97,30.24,0,11.24,1.19,0.32,11.45,Y,Y,N,N,0,0,0,0,0,0
