Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
L T Foods,115.18,12183.37,19.32,16.78,17.53,16.86,16.03,16.33,20.25,11.21,9.11,9.28,8.68,17.91,14.84,13.29,12.2,25.86,33.6,21.34,18.88,0.57,4,3.33,1.49,8,7.67,6.04,0.43,2.93,51,35.19,0,6.77,0.7,0.33,11.17,Y,Y,Y,Y,1,0,1,0,1,3
Zydus Wellness,15.97,11448.38,5.32,6.4,6.08,5.98,6.52,7.41,37.63,33.23,36.79,36.07,34.25,7.64,22.53,27.26,19.15,3.61,9.22,6.79,5.92,3.3,3,2.14,4.64,5,11.99,14.15,0.28,11.91,69.62,6.68,0,4.92,0.87,0.06,15.15,Y,Y,Y,N,0,0,0,0,1,1
Mrs Bectors,54.93,10419.57,23.22,17.74,18.38,17.36,,,73.93,45.95,46.11,46.11,46.11,22.62,15.69,,,24.64,32.75,,,2.21,5,15.06,6.17,6,8.63,6.6,0.19,13.61,49.03,16.91,0,18.4,1.25,0.37,14.32,Y,Y,N,Y,0,0,1,0,1,2
Dodla Dairy,79.01,7595.87,15.48,13.22,15.28,16.05,,,35.08,28.98,29.14,29.14,29.14,17.15,13.06,,,8.19,20.08,,,1.62,5,5.89,2.21,6,5.23,4.27,0.24,0,59.69,10.78,0,11.55,2.25,0.04,89.63,Y,Y,Y,Y,1,0,1,0,1,3
Avanti Feeds,35.14,7500.32,15.09,13.44,13.53,16.57,20.05,22.25,19.79,21.39,20.57,19.94,19.79,9.4,9.01,10.82,17.25,1.44,5.3,6.63,16.92,3.73,4,3.17,1.41,7,6.91,5.91,1.23,23.84,43.23,33.85,0,7.82,2.6,0.01,355.04,N,Y,N,Y,0,0,0,0,1,1
KRBL,-28.01,6123.95,12.48,16.01,13.47,14.83,15.88,17.06,12.55,12.34,11.64,12.32,12.96,10.49,5.5,7.98,6.45,3.12,4.14,6.31,9.34,3.53,3,1.26,1.18,3,11.07,13.07,1.5,15.37,60.17,28.92,0,4.95,0.43,0.11,24.82,Y,Y,N,N,0,0,0,0,1,1
Gopal Snacks,,5600.97,29.23,47.94,34.63,,,,57.63,42.68,42.68,42.68,42.68,7.52,,,,-64.93,,,,,5,12.62,3.78,6,7.1,8.06,0.22,3.13,81.49,10.6,0,22.73,1.85,0.01,36.06,Y,N,Y,N,0,0,0,0,1,1
Manorama Indust.,113.12,5372.56,12.63,10.49,11.65,12.42,14.1,13.98,89.26,64,59.98,54.1,54.1,31.15,34.88,17.77,15.91,36.91,13.89,26.79,19.94,5.77,5,14.19,9.65,2,8.78,8.47,0.04,5.94,57.26,38.58,0,13.61,0.66,0.98,3.72,Y,Y,N,Y,0,0,1,0,1,2
Whirlpool India,32.66,27768.67,5.69,6.08,6.47,9.9,12.16,13.94,110.15,97.57,86.77,79.61,57.64,2.39,3.25,7.01,8.5,-18.66,-15.03,-7.48,3.92,-7.33,4,8.61,4.09,7,2.84,2.98,0.23,37.9,51,8.01,0,11.09,1.48,0.07,12.6,Y,Y,N,N,0,0,0,0,1,1
TTK Prestige,5.51,11579.12,11.19,13.78,14.33,14.85,15.44,,52.92,42.73,43.57,44.93,45.87,6.87,4.91,6.31,,-0.38,3.21,5.78,,16.43,3,5.55,4.32,4,8.41,9.1,0.72,36.4,70.52,7.6,0,9.69,2.06,0.09,21.5,Y,Y,N,N,0,0,0,0,1,1
Symphony,89.08,11040.02,18.04,13.48,15.49,17.77,19.48,22.76,52.08,53.09,53.9,55.32,61.57,8.71,6.5,6.09,12.79,9.85,6.75,-1.36,9.67,8.09,2,14.74,7.97,8,12.71,9.76,0.81,60.51,73.39,11.51,0,17.55,0.65,0.23,27.3,N,Y,Y,Y,0,0,0,0,1,1
Eureka Forbes,8.88,10258.43,2.45,0.69,1.29,1.26,1.24,,92.16,114.11,114.11,114.11,114.11,553.34,142.83,81.72,,52.58,32.71,9.2,,0.54,4,2.44,4.59,9,4.63,1.36,0,0,62.56,17.29,53.66,4.02,0.3,0.01,19.51,N,Y,N,Y,0,0,0,0,1,1
Bajaj Electrical,-19.14,9733.44,7.74,11.6,9.27,8.07,9.4,9.33,73.39,60.34,61.79,57.5,55.23,0.48,-6.97,1.25,1.49,-6.48,-5.22,2.47,37.72,-14.77,1,6.75,2.08,3,2.79,4.33,0.36,26.22,62.76,13.41,2.55,6.16,0.85,0.15,3.42,Y,Y,Y,N,1,0,0,0,1,2
IFB Industries,131.7,8216.85,9.95,2.66,1.74,3.73,5.91,6.81,78.19,118.83,90.07,72.73,51.97,16.44,11.18,13.84,15.5,3.44,3.35,3.56,12.74,23.34,4,11.32,1.83,8,1.59,0.42,0,0,74.96,17.22,0,8.9,0.53,0.22,6.55,N,N,Y,Y,0,0,0,0,1,1
DCM Shriram,2.38,15506.9,6.6,15.14,13.62,14.69,16.78,16.88,31.59,19.12,14.68,12.24,10.83,9.55,7.05,9.49,5.86,-14.26,-13.6,-3.2,6.46,-2.27,3,2.38,1.41,4,3.84,7.67,0.66,23.14,66.52,21.28,0,4.39,0.65,0.33,9.45,Y,Y,N,N,1,0,0,0,1,2
Swan Energy,26.02,14583.58,7.01,-2.07,1.48,0.33,0.08,0.09,39.93,63.91,63.91,237.05,525,150.16,41.27,46.25,31.17,75.53,82.09,172.44,44.22,0.44,4,2.32,2.72,7,11.63,-4.33,0.02,1.04,53.96,20.58,18.4,3.71,2.9,0.55,4.49,N,Y,N,Y,1,0,0,0,1,2
3M India,13.34,38034.73,24.81,18.75,18.07,14.6,15.92,16.55,67.19,76.15,81.42,76.73,75.66,17.5,6.93,7.53,8.47,53.48,10.65,12.1,28.58,6.31,4,16.04,9.64,9,13.64,11.14,0.47,143.96,75,12.8,0,21.27,1.87,0.01,155.79,N,N,Y,Y,0,0,0,0,1,1
Nava,115.6,12953.13,17.85,21.84,17.57,15.31,13.69,11.9,13.43,6.4,4.53,4.98,6.13,14.43,5.32,16.01,8.25,43.64,36.91,61.69,17.94,0.43,3,1.87,3.24,9,30.24,33.99,0.45,4.62,48.85,39.96,0,4.39,3.45,0.06,7.79,Y,Y,Y,N,1,0,0,0,1,2
Quess Corp,64.09,10222.47,11.15,7.37,9.48,7.64,8.96,9.8,29.76,35.71,37.11,38.49,39.77,20.79,17.5,23.68,34.23,85.57,3.26,11.08,7.96,8.27,3,3.65,0.52,8,1.58,1.07,1.45,53.45,56.59,16.62,0,6.88,1.34,0.3,4.18,N,Y,N,Y,0,0,0,0,1,1
Hindustan Foods,8.89,6526.67,18.24,21,18.52,18.2,,,67.36,86.78,84.77,84.77,84.77,25.1,41.14,,,32.17,35.76,,,1.32,4,10.11,2.17,5,3.38,2.74,0,0,63.81,19,0,8.01,0.54,1.13,2.9,N,Y,N,Y,0,0,0,0,1,1
ITC,11.19,603241.49,28.43,29.09,27.51,25.74,24.94,25.18,29.36,25.86,21.8,25.18,27.52,12.89,7.95,7.48,7.22,15.11,9.64,9.99,8.45,2.92,6,8.01,8.03,5,29.23,27.39,2.85,83.91,0,14.83,0,13.53,1.86,0,508.5,Y,Y,N,Y,0,0,1,0,1,2
Godfrey Phillips,190.97,32760.59,18.97,18.17,17.21,16.2,14.77,13.96,36.5,14.25,14.56,15.81,17.69,20.51,12.09,9.1,5.96,34.16,27.99,27.17,14.89,1.3,4,7.74,7.21,7,16.72,16.51,0.89,32.98,72.58,14.19,0,11.46,0.34,0.08,38.6,Y,Y,Y,Y,1,0,1,0,1,3
VST Industries,4.5,5276.74,24.63,29.01,28.24,31.6,32.15,33.08,21.71,16.23,16.88,17.92,18.17,8.54,5.27,6.36,6.05,-1.22,5.72,10.23,7.37,3.8,5,4.66,3.72,6,21.09,25.3,4.39,76.8,32.16,56.77,0,7.9,1.09,0,,Y,Y,N,N,0,0,0,0,0,0
United Spirits,44.84,107662.47,20.98,17.53,19.65,17.68,18.93,14.59,74.89,62.56,67.62,71.61,75.14,11.66,3.92,3.63,0.75,51.72,15.71,24.84,8.72,4.76,3,14.11,9.45,8,12.16,9.04,0.61,46.34,56.67,14.04,1.18,17.25,1.53,0.07,21.73,Y,Y,Y,Y,0,1,0,1,1,3
United Breweries,23.09,52446.38,10.06,8.27,9.35,8.81,10.79,11.19,111.05,119.64,122.3,118.75,98.4,24.17,4.64,8.03,6.74,51.64,-6.15,8.63,6.13,-18.06,3,12.41,6.13,7,5.05,4.36,0.5,64.48,70.84,5.13,12.4,14.52,1.03,0.03,85.22,N,Y,Y,Y,0,0,0,0,1,1
Radico Khaitan,82.91,30344.12,11.29,9.82,11.45,13.24,13.28,12.39,104.95,73.79,50.19,41.96,29.84,20.03,14.75,13.84,11.54,-1.91,6.29,17.73,13.33,16.55,3,12.13,6.75,6,6.23,6.49,0.13,15.68,40.24,16.45,0,13.76,0.98,0.36,6.41,Y,Y,N,N,0,0,0,0,1,1
Allied Blenders,,8384.31,0.59,0.4,0.46,,,,3522.82,4338.57,4338.57,4338.57,4338.57,12.32,,,,-2.79,,,,,1,,2.52,8,0.07,0.05,0,0,80.91,12.11,0,7.02,0.73,2.05,1.1,N,N,Y,Y,0,0,0,0,1,1
Piccadily Agro,165.37,6039.6,30.61,10.19,19.84,17.06,13.63,11.52,68.1,22.21,11.77,13.79,11.76,14.98,14.88,12.31,7.04,69.54,110.21,40.7,15.18,0.62,4,17.78,7.99,8,11.78,3.73,0,0,70.97,28.13,0,15.69,0.67,0.51,8.62,Y,Y,N,Y,0,0,1,0,1,2
Tilaknagar Inds.,31.28,5166.41,24.78,23.89,27.11,,,,33.27,38.99,38.99,38.99,37.75,36.44,16.08,15.29,5.4,63.56,20.68,12.82,4.43,1.42,2,7.89,3.68,7,10.02,6.11,0.19,6.98,40.14,46.28,0,11.27,1.9,0.19,7.24,N,Y,Y,Y,1,1,0,0,0,2
